Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Samsung Galaxy Pop Plus S,35,1,2012,2,110.4,60.6,12.1,106.6,1,TFT,3.14,240,320,Android 2.2,Qualcomm MSM7227,1,Adre0 200,32,0.15625,0.375,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia S,35,1,2012,2,128,64,10.6,144,1,TFT,4.3,720,1280,Android 2.3,Qualcomm MSM8260,2,Adre0 220,0,32,1,6,2,1750,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Motorola DROID,2310,1,2012,2,127,67.3,12.7,178.9,1,TFT,4,540,960,Android 2.3,TI OMAP,2,PowerVR SGX540,32,16,1,2,2,1785,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola Defy Mini XT,35,1,2012,2,109,58.5,12.6,107,1,TFT,3.2,320,480,Android 2.3.6,-,1,-,32,0.5,0.5,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy mini,35,1,2012,3,109.4,58.6,11.6,105.3,1,TFT,3.27,320,480,Android 2.3.6,Qualcomm MSM7227A,1,Adre0 200,32,4,0.5,2,2,1300,1,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Apple iPad,2310,1,2012,3,241.2,185.7,9.4,662,1,IPS LCD,9.7,1536,2048,iOS 5.1,Apple A5X,2,PowerVR SGX543,0,16,1,2,2,11560,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad,0,0,2012,3,241.2,185.7,9.4,652,0,IPS LCD,9.7,1536,2048,iOS 5.1,Apple A5X,2,PowerVR SGX543,0,16,1,0,2,11560,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola Motosmart Flip XT,35,1,2012,3,110,58.5,13.9,110,1,TFT,3.2,320,480,Android 2.3,Qualcomm MSM7227T,1,Adre0 200,32,0.5,0.5,2,2,1540,1,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Motorola DEFY XT,35,1,2012,3,115,58.5,12,115,1,TFT,3.7,480,854,Android 2.3.7,Qualcomm MSM7227A,1,Adre0 200,32,1,0.5,2,2,1650,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola Motoluxe,35,1,2012,3,117.7,60.5,9.9,123.6,1,TFT,4,480,854,Android 2.3.7,Qualcomm MSM7227A,1,Adre0 200,32,1,0.5,2,2,1400,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Tab,35,1,2012,4,193.7,122.4,10.5,345,1,PLS LCD,7,600,1024,Android 4.0.3,TI OMAP,2,PowerVR SGX540,32,8,1,6,2,4000,0,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Samsung I,35,1,2012,4,123.2,63,9.7,120,1,Super AMOLED,4,480,800,Android 2.3.6,0vaThor U8500,2,Mali 400,32,8,0.75,2,2,1500,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Pocket S,35,1,2012,4,103.7,57.5,12,97,1,TFT,2.8,240,320,Android 2.3,-,1,-,32,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Grand I,35,1,2012,4,143.5,76.9,9.6,162,1,TFT,5,480,800,Android 4.1.2,-,2,Broadcom VideoCore,64,8,1,6,2,2100,0,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Motorola GLEAM+ WX,5,1,2012,4,107,52.5,13.5,105,1,TFT,2.8,240,400,-,-,-,-,16,-,-,0,2,750,0,No,1,-,-,-,-
Samsung I,35,1,2012,5,136.6,70.6,8.6,133,1,Super AMOLED,4.8,720,1280,Android 4.0.4,Exy0s 4412,4,Mali 400,64,16,1,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Tab,35,1,2012,5,256.6,175.3,9.7,588,1,PLS TFT,10.1,800,1280,Android 4.0.3,TI OMAP,2,PowerVR SGX540,32,16,1,6,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Ace,35,1,2012,5,118.3,62.2,10.5,122,1,PLS TFT,3.8,480,800,Android 2.3,0vaThor U8500,2,Mali 400,32,4,0.75,6,2,1500,1,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Tab,0,0,2012,5,256.6,175.3,9.7,581,0,PLS TFT,10.1,800,1280,Android 4.0.3,TI OMAP,2,PowerVR SGX540,32,8,1,3,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Tab,0,0,2012,5,193.7,122.4,10.5,344,0,PLS LCD,7,600,1024,Android 4.0.3,TI OMAP,2,PowerVR SGX540,64,8,1,3,2,4000,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Sony Xperia P,35,1,2012,5,122,59.5,10.5,120,1,TFT,4,540,960,Android 2.3,0vaThor U8500,2,Mali 400,0,16,1,2,2,1305,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia U,35,1,2012,5,112,54,12,110,1,TFT,3.5,480,854,Android 2.3,0vaThor U8500,2,Mali 400,0,8,0.5,2,2,1320,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia sola,35,1,2012,5,116,59,9.9,107,1,TFT,3.7,480,854,Android 2.3,0vaThor U8500,2,Mali 400,32,8,0.5,2,2,1320,1,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola RAZR MAXX,35,1,2012,5,130.7,68.9,9,145,1,Super AMOLED,4.3,540,960,Android 2.3.6,TI OMAP,2,PowerVR SGX540,32,16,1,6,2,3300,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung Galaxy Ace Duos S,35,1,2012,6,112.7,61.5,11.5,122,2,TFT,3.5,320,480,Android 2.3,-,1,-,32,3,0.5,2,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy S III T,385,1,2012,6,136.6,70.6,8.6,133,1,Super AMOLED,4.8,720,1280,Android 4.0,Qualcomm MSM8960,2,Adre0 225,64,16,2,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Sony Xperia neo L,35,1,2012,6,121,61.1,12.2,131.5,1,TFT,4,480,854,Android 4.0.4,Qualcomm MSM8255,1,Adre0 205,32,1,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Sony Xperia ion LTE,385,1,2012,6,133,68,10.8,144,1,TFT,4.55,720,1280,Android 2.3,Qualcomm MSM8260,2,Adre0 220,32,16,1,6,2,1900,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia ion HSPA,35,1,2012,6,133,68,10.8,144,1,TFT,4.55,720,1280,Android 2.3,Qualcomm MSM8260,2,Adre0 220,32,13.2,1,6,2,1900,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Samsung I,35,1,2012,7,124,64.2,12.5,145.3,1,TFT,4,480,800,Android 2.3.6,0vaThor U8500,2,Mali 400,32,8,0.75,2,2,2000,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Samsung Galaxy S III I,385,1,2012,7,136.6,70.6,8.6,134,1,Super AMOLED,4.8,720,1280,Android 4.0,Qualcomm MSM8960,2,Adre0 225,64,16,2,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy S III CDMA,66,0,2012,7,137.2,71.1,7.6,133.2,1,Super AMOLED,4.8,720,1280,Android 4.1,Qualcomm MSM8960,2,Adre0 225,64,16,2,2,2,2100,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung E,5,1,2012,7,113,46,13.9,79,2,TFT,2,128,160,-,-,1,-,32,-,-,0,2,1000,0,No,1,-,-,-,-
Sony Xperia go,35,1,2012,7,111,60.3,9.8,110,1,TFT,3.5,320,480,Android 2.3,0vaThor U8500,2,Mali 400,32,8,0.5,2,2,1305,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Motorola ATRIX HD MB,385,1,2012,7,133.5,69.9,8.4,140,1,TFT,4.5,720,1280,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,8,1,2,2,1780,0,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Samsung Galaxy Note,35,1,2012,8,262,180,8.9,600,1,TFT,10.1,800,1280,Android 4.0.3,Exy0s 4412,4,Mali 400,64,16,2,6,0,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Galaxy Chat B,35,1,2012,8,118.9,59.3,11.7,112,1,TFT,3,240,320,Android 4.0,-,1,-,32,-,-,6,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Note,0,0,2012,8,262,180,8.9,597,0,PLS TFT,10.1,800,1280,Android 4.0.3,Exy0s 4412,4,Mali 400,64,16,2,39,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Xiaomi Mi,35,1,2012,8,125,63,11.9,149,1,TFT,4,480,854,Android 4.0,Qualcomm MSM8260,2,Adre0 220,32,4,1,2,2,1930,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Sony Xperia tipo,35,1,2012,8,103,57,13,99.4,1,TFT,3.2,320,480,Android 4.0.4,Qualcomm MSM7225AA,1,Adre0 200,32,2.9,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia acro S,35,1,2012,8,126,66,11.9,147,1,TFT,4.3,720,1280,Android 4.0,Qualcomm MSM8260,2,Adre0 220,32,16,1,6,2,1910,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia GX SO-,385,1,2012,8,131,69,8.6,127,1,TFT,4.6,720,1280,Android 4.0,Qualcomm MSM8960,2,Adre0 225,32,16,1,2,2,1700,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Sony Xperia LT,35,1,2012,8,8.6,8.6,8.6,127,1,TFT,4.6,720,1280,Android 4.0,Qualcomm MSM8960,2,Adre0 225,32,-,-,2,2,1700,1,Wi-Fi 802.11 b/g/n,-,0,1,1,1
Motorola Photon Q,2310,1,2012,8,126.5,66,13.7,170.1,1,TFT,4.3,540,960,Android 4.0.4,-,2,-,32,8,1,2,2,1785,1,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung Galaxy Note II N,385,1,2012,9,151.1,80.5,9.4,183,1,Super AMOLED,5.5,720,1280,Android 4.1.1,Exy0s 4412,4,Mali 400,64,16,2,6,2,3100,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy S Duos S,35,1,2012,9,121.5,63.1,10.5,120,2,TFT,4,480,800,Android 4.0,Qualcomm MSM7227A,1,Adre0 200,32,4,0.75,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,385,1,2012,9,136.6,70.6,8.6,131,1,Super AMOLED,4.8,720,1280,Android 4.1.1,Exy0s 4412,4,Mali 400,64,16,2,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Pocket Duos S,35,1,2012,9,103.9,57.9,13,103,2,TFT,2.8,240,320,Android 2.3,-,1,-,32,-,-,2,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Champ Neo Duos C,5,1,2012,9,96.9,54.3,13.5,82,2,TFT,2.4,240,320,-,-,-,-,32,-,-,0,2,1000,0,No,0,-,-,-,-
Samsung Galaxy Rush M,6,0,2012,9,122.9,59.9,11.9,119.1,1,TFT,3.5,320,480,Android 4.0.4,Qualcomm MSM8655,1,Adre0 205,32,2,0.75,2,2,1750,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
Samsung Galaxy M Style M,7,-,2012,9,122.5,63,9.9,123.5,0,Super AMOLED,4,480,800,Android 2.3,-,1,-,32,-,-,2,2,1650,0,Wi-Fi 802.11 b/g/n,-,0,1,0,1
Samsung Galaxy S Relay,35,1,2012,9,126,66,13.5,147,1,Super AMOLED,4,480,800,Android 4.0,Qualcomm MSM8960,2,Adre0 225,32,8,1,2,2,1800,1,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Apple iPhone,2310,1,2012,9,123.8,58.6,7.6,112,1,IPS LCD,4,640,1136,iOS 6,Apple A6,2,PowerVR SGX,0,16,1,6,2,1440,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Sony Xperia miro,35,1,2012,9,113,59.4,9.9,110,1,TFT,3.5,320,480,Android 4.0,Qualcomm MSM7225A,1,Adre0 200,32,4,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia T,35,1,2012,9,129.4,67.3,9.4,139,1,TFT,4.55,720,1280,Android 4.0.4,Qualcomm MSM8260A,2,Adre0 225,32,16,1,6,2,1850,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Xperia SL,35,1,2012,9,128,64,10.6,144,1,TFT,4.3,720,1280,Android 4.0.4,Qualcomm MSM8260,2,Adre0 220,0,32,1,6,2,1750,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia Tablet S,0,0,2012,9,239.8,174.4,8.8,570,0,TFT,9.4,800,1280,Android 4.0.3,Nvidia Tegra,4,ULP GeForce,32,16,1,1,2,6000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Sony Xperia tipo dual,35,1,2012,9,103,57,13,99.4,2,TFT,3.2,320,480,Android 4.0.3,Qualcomm MSM7225AA,1,Adre0 200,32,2.9,0.5,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia acro HD SO-,35,1,2012,9,126,66,11.9,149,1,TFT,4.3,720,1280,Android 2.3,Qualcomm MSM8260,2,Adre0 220,32,11,1,6,2,1910,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia SX SO-,385,1,2012,9,115,54,9.4,95,1,TFT,3.7,540,960,Android 4.0,Qualcomm MSM8960,2,Adre0 225,32,4,1,6,2,1500,0,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Tablet P,5,0,2012,9,180,158,14,372,1,TFT,5.5,1024,480,Android 3.2,Nvidia Tegra,2,ULP GeForce,32,4,1,1,2,3080,0,Wi-Fi 802.11 b/g/n,0,0,1,1,0
Motorola DROID RAZR M,2310,1,2012,9,122.5,60.9,8.3,126,1,Super AMOLED,4.3,540,960,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,8,1,6,2,2000,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Motorola RAZR HD XT,385,1,2012,9,131.9,67.9,8.4,146,1,Super AMOLED,4.7,720,1280,Android 4.0.4,-,2,-,32,16,1,78,2,2530,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Sony Xperia J,35,1,2012,10,124.3,61.2,9.2,124,1,TFT,4,480,854,Android 4.0.4,Qualcomm MSM7227A,1,Adre0 200,32,4,0.5,2,2,1750,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia TX,35,1,2012,10,131,68.6,8.6,127,1,TFT,4.55,720,1280,Android 4.0.4,Qualcomm MSM8260A,2,Adre0 225,32,16,1,6,2,1750,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Xperia Tablet S,35,1,2012,10,239.8,174.4,8.8,585,1,TFT,9.4,800,1280,Android 4.0.3,Nvidia Tegra,4,ULP GeForce,32,16,1,2,2,6000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Motorola RAZR i XT,35,1,2012,10,122.5,60.9,8.3,126,1,Super AMOLED,4.3,540,960,Android 4.0.4,Intel Atom,1,PowerVR SGX540,32,8,1,26,2,2000,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Motorola DROID RAZR HD,2310,1,2012,10,131.9,67.9,8.4,146,1,Super AMOLED,4.7,720,1280,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,16,1,78,2,2530,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Samsung I,35,1,2012,11,121.6,63,9.9,111.5,1,Super AMOLED,4,480,800,Android 4.1,0vaThor U8420,2,Mali 400,32,8,1,6,2,1500,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Camera GC,77,0,2012,11,128.7,70.8,19.1,300,1,TFT,4.8,720,1280,Android 4.1,Exy0s 4412,4,Mali 400,64,4,1,6,2,1650,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Google Nexus,0,0,2012,11,263.9,177.6,8.9,603,0,Super PLS TFT,10.1,2560,1600,Android 4.2,Exy0s 5250,2,Mali T604,0,16,2,3,2,9000,1,Wi-Fi 802.11 b/g/n,0,0,1,1,1
Samsung Galaxy Ace II X S,35,1,2012,11,121.5,63.1,10.5,122,1,TFT,4,480,800,Android 4.0,-,1,-,32,4,0.75,2,2,1500,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Discover S,35,1,2012,11,112.8,61.5,11.5,122,1,TFT,3.5,320,480,Android 4.0.4,Qualcomm MSM7225A,1,Adre0 200,32,4,0.5,2,2,1300,0,Wi-Fi 802.11 b/g,0,0,1,0,0
Apple iPad mini Wi-Fi,0,0,2012,11,200,134.7,7.2,308,0,IPS LCD,7.9,768,1024,iOS 6,Apple A5,2,PowerVR SGX543,0,16,0.5,0,2,4490,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad mini Wi-Fi + Cellular,770,1,2012,11,200,134.7,7.2,312,1,IPS LCD,7.9,768,1024,iOS 6,Apple A5,2,PowerVR SGX543,0,16,0.5,6,2,4490,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad,0,0,2012,11,241.2,185.7,9.4,652,0,IPS LCD,9.7,1536,2048,iOS 6,Apple A6X,2,PowerVR SGX554,0,16,1,0,2,11560,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Apple iPad,2310,1,2012,11,241.2,185.7,9.4,662,1,IPS LCD,9.7,1536,2048,iOS 6,Apple A6X,2,PowerVR SGX554,0,16,1,6,2,11560,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Xiaomi Mi,35,1,2012,11,126,62,10.2,145,1,IPS LCD,4.3,720,1280,Android 4.1,Qualcomm APQ8064,4,Adre0 320,0,16,2,6,2,2000,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia T LTE,385,1,2012,11,129.4,67.3,9.4,148,1,TFT,4.55,720,1280,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,16,1,6,2,1850,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Honor 2,35,1,2012,11,134,67.5,10.5,145,1,IPS LCD,4.5,720,1280,Android 4.0,Huawei K3V2,4,Vivante GC4000,32,8,2,6,2,2230,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Motorola DROID RAZR MAXX HD,2310,1,2012,11,131.9,67.9,9.3,157,1,Super AMOLED,4.7,720,1280,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,16,1,78,2,3300,1,Wi-Fi 802.11 a/b/g/n,0,0,1,0,1
Samsung Galaxy Note LTE,385,1,2012,12,262,180,8.9,600,1,TFT,10.1,800,1280,Android 4.1,Exy0s 4412,4,Mali 400,64,16,2,2,2,7000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,0
Samsung Ativ S I,35,1,2012,12,137.2,70.5,8.7,135,1,Super AMOLED,4.8,720,1280,Windows 8,Qualcomm MSM8960,2,Adre0 225,32,16,1,6,2,2300,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung A,35,1,2012,12,104.1,53.3,20.3,133,1,TFT,2.4,240,320,-,-,1,-,32,0.25,0.125,2,2,1300,0,No,0,-,-,-,-
Samsung Galaxy Music S,35,1,2012,12,110.1,59,12.3,106.9,1,TFT,3,240,320,Android 4.0.4,-,1,-,32,4,0.5,6,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Music Duos S,35,1,2012,12,110.1,59,12.3,106.9,2,TFT,3,240,320,Android 4.0.4,-,1,-,32,4,0.5,6,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia E,35,1,2012,12,113.5,61.8,11,115.7,1,TFT,3.5,320,480,Android 4.1,Qualcomm MSM7227A,1,Adre0 200,32,4,0.5,2,2,1530,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Sony Xperia V,385,1,2012,12,129,65,10.7,120,1,TFT,4.3,720,1280,Android 4.0.4,Qualcomm MSM8960,2,Adre0 225,32,8,1,6,2,1750,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Xperia E dual,35,1,2012,12,113.5,61.8,11,115.7,2,TFT,3.5,320,480,Android 4.0.4,Qualcomm MSM7227A,1,Adre0 200,32,4,0.5,2,2,1530,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung I,35,1,2013,1,125.3,66.1,8.5,121,1,Super AMOLED,4.3,480,800,Android 4.1.2,Broadcom BC28155,2,Broadcom VideoCore,64,8,1,6,2,1650,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung I,385,1,2013,1,136.6,69.8,7.9,130,1,Super AMOLED,5,1080,1920,Android 4.2.2,Qualcomm MSM8974,4,Adre0 330,64,16,2,6,2,2600,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung S,35,1,2013,1,130.5,67.7,12,148.5,1,TFT,4,480,800,Android 4.1.2,-,2,Mali 400,32,4,1,6,2,1700,0,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Samsung E,5,1,2013,1,95,46.5,18,82.9,2,TFT,1.77,128,160,-,-,1,-,0,0.03125,0.0625,0,2,800,0,No,1,-,-,-,-
Samsung Galaxy Express I,385,1,2013,1,132.2,69.1,9.3,139.1,1,Super AMOLED,4.5,480,800,Android 4.1.2,Qualcomm MSM8930,2,Adre0 305,32,8,1,6,2,2000,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Xiaomi Mi,35,1,2013,1,133,66.5,9.5,133,1,IPS LCD,4.5,720,1280,Android 4.1,Xiaolong S4,2,Adre0 320,0,16,1,6,2,2030,1,Wi-Fi 802.11 b/g/n,1,0,1,1,1
Sony Xperia Z,385,1,2013,1,139,71,7.9,146,1,TFT,5,1080,1920,Android 4.1.2,Qualcomm APQ8064,4,Adre0 320,64,16,2,6,2,2330,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Xperia C,385,1,2013,1,-,-,-,-,1,TFT,4.8,1080,1920,Android 4.2,Qualcomm APQ8064T,4,Adre0 330,32,32,2,6,2,-,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Galaxy Note,385,1,2013,2,210.8,135.9,8,338,1,TFT,8,800,1280,Android 4.1.2,Exy0s 4412,4,Mali 400,64,16,2,6,2,4600,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Young S,35,1,2013,2,109.4,58.6,12.5,112,3,TFT,3.27,320,480,Android 4.1.2,Qualcomm MSM7227A,1,Adre0 200,64,4,0.75,2,2,1300,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Fame S,35,1,2013,2,113.2,61.6,11.6,120.6,3,TFT,3.5,320,480,Android 4.1.2,-,1,Broadcom VideoCore,64,4,0.5,6,2,1300,1,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Note,0,0,2013,2,210.8,135.9,8,338,0,TFT,8,800,1280,Android 4.1.2,Exy0s 4412,4,Mali 400,64,16,2,6,2,4600,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Rex,5,1,2013,2,104.9,57.2,12,89.2,2,TFT,3,240,320,-,-,-,-,32,-,-,0,2,1000,0,Wi-Fi 802.11 b/g/n,1,0,0,0,0
Samsung Galaxy Pop SHV-E,385,1,2013,2,134.2,68.1,9.1,134,1,Super AMOLED,4.65,720,1280,Android 4.1.2,Exy0s 4412,4,Mali 400,64,8,1,6,2,2100,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Samsung Rex,5,1,2013,2,101.8,55,12.2,-,2,TFT,2.8,240,320,-,-,-,-,16,-,-,0,2,1000,0,No,1,0,0,0,0
Sony Xperia Tablet Z LTE,385,1,2013,2,266,172,6.9,495,1,TFT,10.1,1200,1920,Android 4.1.2,Qualcomm APQ8064,4,Adre0 320,64,16,2,6,2,6000,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,0
Samsung I,35,1,2013,3,136.6,69.8,7.9,130,1,Super AMOLED,5,1080,1920,Android 4.2.2,Exy0s 5410,8,PowerVR SGX544,64,16,2,6,2,2600,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung I,385,1,2013,3,136.6,69.8,7.9,130,1,Super AMOLED,5,1080,1920,Android 4.2.2,Qualcomm APQ8064T,4,Adre0 320,64,16,2,6,2,2600,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung I,35,1,2013,3,136.6,69.8,7.9,132,2,Super AMOLED,5,1080,1920,Android 4.2.2,Exy0s 5410,8,PowerVR SGX544,64,16,2,6,2,2600,1,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung E,5,1,2013,3,109.2,45.5,14.5,74.5,2,TFT,1.8,128,160,-,-,-,-,4,-,-,0,0,1000,0,No,1,-,-,-,-
Samsung E,5,0,2013,3,108,45.5,13.5,-,2,TFT,1.52,128,128,-,-,-,-,0,-,-,0,0,800,0,No,1,-,-,-,-
Sony Xperia SP,385,1,2013,3,130.6,67.1,10,155,1,TFT,4.6,720,1280,Android 4.1,Qualcomm MSM8960T,2,Adre0 320,32,8,1,6,2,2370,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Sony Xperia ZL,385,1,2013,3,131.6,69.3,9.8,151,1,TFT,5,1080,1920,Android 4.1.2,Qualcomm APQ8064,4,Adre0 320,64,16,2,6,2,2370,1,Wi-Fi 802.11 a/b/g/n,1,0,1,1,1
Motorola RAZR D,35,1,2013,3,110,59,11,110,3,TFT,3.5,320,480,Android 4.1,Mediatek MT6575M,1,PowerVR SGX531,32,4,1,2,2,1785,0,Wi-Fi 802.11 b/g/n,1,0,1,0,1
Samsung Galaxy Tab,385,1,2013,4,188,111.1,9.9,306,1,TFT,7,600,1024,Android 4.1.2,Marvell PXA986,2,PowerVR SGX540,64,8,1,6,2,4000,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Mega,35,1,2013,4,162.6,82.4,9,182,3,TFT,5.8,540,960,Android 4.2.2,-,2,-,64,8,1.5,6,2,2600,0,Wi-Fi 802.11 a/b/g/n,0,0,1,1,1
Samsung Galaxy Star S,5,1,2013,4,105,58,11.9,100.5,3,TFT,3,240,320,Android 4.1.2,-,1,Mali 300,32,4,0.5,0,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Pocket Neo S,35,1,2013,4,105,57.8,11.8,100.5,3,TFT,3,240,320,Android 4.1.2,-,1,-,32,4,0.5,6,2,1200,0,Wi-Fi 802.11 b/g/n,1,0,1,0,0
Samsung Galaxy Trend II Duos S,35,1,2013,4,121.5,63.1,11.1,128.5,3,TFT,4,480,800,Android 4.1,-,2,-,32,-,-,1,2,1500,0,Wi-Fi 802.11 b/g/n,0,0,1,0,1
