Model,Network Type,GPRS,Year,Month,Height,Breadth,Width,Weight,Sim,Screen,Screen Size,Resolution_X,Resolution_Y,OS,Chipset,Cores,GPU,External Memory,Hard Disk,Main Memory,GPS,USB Type,Battery Size,NFC,Wifi,Radio,Fingerprint,Accelerometer,Gyroscope,Proximity
Motorola MOTOFONE F,5,0,2006,6,114,47,9,70,1,-,2.2,2,6,-,-,-,-,0,-,-,0,0,800,0,No,0,-,-,-,-
Motorola W,5,1,2006,6,99,45,18.6,88,1,TFT,1.8,128,160,-,-,-,-,0,-,-,0,0,850,0,No,1,-,-,-,-
Motorola RAZR V,35,1,2006,7,103,53,15,107,1,TFT,2.2,240,320,-,-,-,-,0,-,-,0,0,940,0,No,0,-,-,-,-
Motorola KRZR K,5,1,2006,7,103,42,16,102,1,TFT,1.9,176,220,-,-,-,-,0,-,-,0,0,700,0,No,0,-,-,-,-
Motorola RAZR maxx V,35,1,2006,7,104,53,15,105,1,TFT,2.2,240,320,-,-,-,-,2,-,-,0,2,940,0,No,0,-,-,-,-
Motorola RIZR Z,5,1,2006,7,106,46,16,115,1,TFT,1.9,176,220,-,-,-,-,2,-,-,0,1.1,720,0,No,0,-,-,-,-
Samsung X,5,1,2006,9,84,30,20,72,1,TFT,1.46,128,220,-,-,-,-,0,-,-,0,2,800,0,No,0,-,-,-,-
Samsung E,5,1,2006,10,99.5,49.5,14.1,80,1,TFT,2,128,160,-,-,-,-,0,-,-,0,1.1,750,0,No,1,-,-,-,-
Motorola ROKR E,5,1,2006,12,111,51.5,14.5,121,1,TFT,2.4,240,320,Linux,-,1,-,2,-,-,0,2,1000,0,No,1,-,-,-,-
Samsung D,5,1,2007,1,103.5,51,12.9,85,1,TFT,2.1,240,320,-,-,-,-,2,-,-,0,1.1,800,0,No,1,-,-,-,-
Motorola ROKR Z,5,1,2007,1,105,45,16.2,105,1,TFT,2.1,240,320,Linux,-,1,-,1,-,-,0,2,720,0,No,0,-,-,-,-
Samsung U,35,1,2007,2,102.5,50,12.1,86,1,TFT,2.2,240,320,-,-,-,-,0,-,-,0,2,690,0,No,0,-,-,-,-
Motorola RIZR Z,35,1,2007,2,109,50,15,112,1,TFT,2.2,240,320,"Symbian 9.2, UIQ 3.1",TI OMAP,1,PowerVR MBX,0,-,-,0,2,1030,0,No,0,-,-,-,-
Motorola U,5,1,2007,2,90,48.6,16.4,87.5,1,TFT,2,240,320,Linux,-,-,-,0,-,-,0,2,-,0,No,0,-,-,-,-
Motorola Q,35,1,2007,2,118,67,11.8,134,1,TFT,2.4,320,240,Windows 6.0,-,1,-,8,0,0.09375,1,2,1170,0,No,0,-,-,-,-
Motorola SLVR L,5,1,2007,2,113,49,11.5,96,1,TFT,1.9,176,220,-,-,-,-,0,-,-,0,0,880,0,No,1,-,-,-,-
Motorola W,5,1,2007,2,99,46,17.5,107,1,TFT,1.9,176,220,-,-,-,-,0,-,-,0,0,880,0,No,0,-,-,-,-
Motorola KRZR K,35,1,2007,2,103,42.3,16.3,110,1,TFT,2,240,320,-,-,-,-,0,-,-,0,0,910,0,No,0,-,-,-,-
Samsung J,5,1,2007,4,97,44,15,85,1,TFT,1.9,128,160,-,-,-,-,0,-,-,0,0,800,0,No,1,-,-,-,-
Samsung U,5,1,2007,4,103.5,49.3,10.9,81,1,TFT,2.2,240,320,-,-,-,-,0,-,-,0,2,690,0,No,1,-,-,-,-
Motorola ROKR E,5,1,2007,4,115,53,10.6,100,1,TFT,2,320,240,Linux,-,-,-,0,-,-,0,2,970,0,No,1,-,-,-,-
Motorola RAZR,5,1,2007,5,103,53,11.9,117,1,TFT,2.2,240,320,Linux,-,-,-,0,-,-,0,2,770,0,No,0,-,-,-,-
Motorola RAZR,35,1,2007,5,103,53,13.3,125,1,TFT,2.2,240,320,-,-,-,-,0,-,-,0,2,950,0,No,0,-,-,-,-
Motorola RIZR Z,35,1,2007,5,109.7,50.7,16.8,119,1,TFT,2.2,240,320,Symbian 9.2,TI OMAP,1,PowerVR MBX,8,0.068359375,0.0625,0,0,1130,0,No,0,-,-,-,-
Apple iPhone,5,1,2007,6,115,61,11.6,135,1,TFT,3.5,320,480,iOS 3,-,1,PowerVR MBX,0,-,-,0,2,-,0,Wi-Fi 802.11b/g,0,0,1,0,1
